activity_segment,sentiment_binary,mean_daily_pnl,mean_trades,mean_win_rate
Infrequent,Fear,2924.8696983382356,37.93382352941177,0.7579313796802466
Infrequent,Greed,6900.292863217646,24.094117647058823,0.9368784368784369
Infrequent,Neutral,3416.326617333333,13.666666666666666,0.7593582887700535
Moderate,Fear,11098.858663676767,95.53535353535354,0.8360530704122073
Moderate,Greed,1174.5471902615384,55.44102564102564,0.7148345715628924
Moderate,Neutral,2823.4624885121953,74.71951219512195,0.7977743525316858
Frequent,Fear,3291.4679731359647,129.74122807017545,0.8639809053723859
Frequent,Greed,4280.857966348578,93.1866501854141,0.8727127403219967
Frequent,Neutral,3642.5041014444446,122.9563492063492,0.8520493281506362
