sentiment_binary,mean_trades_per_day,mean_trade_size_usd,mean_volume_usd,mean_long_short_ratio
Fear,105.3632911392405,8529.859802485056,756720.3180126583,2.927300318735138
Neutral,100.22872340425532,6963.694860853634,479367.18904255313,2.965339267922992
Greed,76.91226575809199,5954.63263265916,351829.35203577514,2.381213006622037
